timestamp,market_id,question,yes_bid,yes_ask,no_bid,no_ask,spread,volume
2026-05-18T00:00:49+00:00,#59,index:2,0.00887,0.04659,0.95341,0.99113,0.037720000000000004,30747.0
2026-05-18T00:00:49+00:00,#58,index:1,0.8,0.80909,0.19091,0.2,0.009089999999999931,2841.0
2026-05-18T00:00:49+00:00,#55,class:priceBinary|underlying:BTC|expiry:20260518-0600|targetPrice:78088|period:1,0.22559,0.23349,0.76651,0.77441,0.00789999999999999,10687.0
2026-05-18T00:00:49+00:00,#57,index:0,0.18187,0.18676,0.81324,0.81813,0.0048900000000000055,17528.0
2026-05-18T00:00:49+00:00,#56,other,,,,,,0
2026-05-18T00:10:30+00:00,#59,index:2,0.00383,0.03896,0.96104,0.99617,0.03513,8725.0
2026-05-18T00:10:30+00:00,#57,index:0,0.32444,0.345,0.655,0.67556,0.020559999999999967,7198.0
2026-05-18T00:10:30+00:00,#58,index:1,0.65827,0.66949,0.32839,0.33977,0.011220000000000008,1259.0
2026-05-18T00:10:30+00:00,#55,class:priceBinary|underlying:BTC|expiry:20260518-0600|targetPrice:78088|period:1,0.10426,0.1108,0.8892,0.89574,0.00653999999999999,12177.0
2026-05-18T00:10:30+00:00,#56,other,,,,,,0
2026-05-18T00:20:28+00:00,#59,index:2,0.00383,0.025,0.975,0.99617,0.02117,508027.0
2026-05-18T00:20:28+00:00,#57,index:0,0.22672,0.24108,0.75892,0.77328,0.014359999999999984,7712.0
2026-05-18T00:20:28+00:00,#58,index:1,0.75271,0.76423,0.23577,0.25187,0.011519999999999975,1577.0
2026-05-18T00:20:28+00:00,#55,class:priceBinary|underlying:BTC|expiry:20260518-0600|targetPrice:78088|period:1,0.1555,0.15719,0.84281,0.8445,0.001689999999999997,11598.0
2026-05-18T00:20:28+00:00,#56,other,,,,,,0
2026-05-18T00:30:35+00:00,#57,index:0,0.23998,0.26362,0.73638,0.75991,0.023640000000000022,6810.0
2026-05-18T00:30:35+00:00,#59,index:2,0.00383,0.02116,0.97884,0.99617,0.01733,8497.0
2026-05-18T00:30:35+00:00,#58,index:1,0.74557,0.75475,0.24525,0.25443,0.009180000000000077,1549.0
2026-05-18T00:30:35+00:00,#55,class:priceBinary|underlying:BTC|expiry:20260518-0600|targetPrice:78088|period:1,0.12761,0.13236,0.86764,0.87239,0.004750000000000004,4705.0
2026-05-18T00:30:35+00:00,#56,other,,,,,,0
2026-05-18T00:40:30+00:00,#57,index:0,0.22934,0.25134,0.74866,0.77066,0.02200000000000002,7718.0
2026-05-18T00:40:30+00:00,#58,index:1,0.7435,0.76239,0.23761,0.2565,0.018889999999999962,1576.0
2026-05-18T00:40:30+00:00,#59,index:2,0.00393,0.019,0.981,0.99607,0.01507,8477.0
2026-05-18T00:40:30+00:00,#55,class:priceBinary|underlying:BTC|expiry:20260518-0600|targetPrice:78088|period:1,0.12351,0.13153,0.86847,0.87649,0.008020000000000013,12392.0
2026-05-18T00:40:30+00:00,#56,other,,,,,,0
2026-05-18T00:50:28+00:00,#58,index:1,0.73329,0.75565,0.24435,0.26671,0.022360000000000047,1529.0
2026-05-18T00:50:28+00:00,#57,index:0,0.24276,0.2625,0.7375,0.75724,0.019740000000000008,7714.0
2026-05-18T00:50:28+00:00,#59,index:2,0.00383,0.0189,0.9811,0.99617,0.01507,5816.0
2026-05-18T00:50:28+00:00,#55,class:priceBinary|underlying:BTC|expiry:20260518-0600|targetPrice:78088|period:1,0.10173,0.106,0.894,0.89827,0.004269999999999996,12561.0
2026-05-18T00:50:28+00:00,#56,other,,,,,,0
2026-05-18T01:00:45+00:00,#59,index:2,0.00383,0.01878,0.98122,0.99617,0.014950000000000001,5324.0
2026-05-18T01:00:45+00:00,#58,index:1,0.79425,0.80764,0.19236,0.20575,0.013390000000000013,3044.0
2026-05-18T01:00:45+00:00,#57,index:0,0.20063,0.20957,0.79043,0.79937,0.008940000000000003,7757.0
2026-05-18T01:00:45+00:00,#55,class:priceBinary|underlying:BTC|expiry:20260518-0600|targetPrice:78088|period:1,0.111,0.11535,0.88465,0.889,0.004349999999999993,10185.0
2026-05-18T01:00:45+00:00,#56,other,,,,,,0
2026-05-18T01:10:27+00:00,#58,index:1,0.80851,0.82652,0.17348,0.19149,0.01801000000000008,1968.0
