timestamp,market_id,question,yes_bid,yes_ask,no_bid,no_ask,spread,volume
2026-05-19T00:00:51+00:00,#64,index:2,0.003,0.02199,0.97801,0.997,0.01899,1495364.0
2026-05-19T00:00:51+00:00,#63,index:1,0.9595,0.97354,0.02646,0.0405,0.014039999999999941,6700.0
2026-05-19T00:00:51+00:00,#62,index:0,0.00382,0.0165,0.9835,0.99618,0.01268,75007.0
2026-05-19T00:00:51+00:00,#60,class:priceBinary|underlying:BTC|expiry:20260519-0600|targetPrice:76885|period:1,0.59355,0.5938,0.4062,0.40645,0.00024999999999997247,4681.0
2026-05-19T00:00:51+00:00,#61,other,,,,,,0
2026-05-19T00:10:27+00:00,#64,index:2,0.00745,0.02205,0.97795,0.99255,0.0146,1455527.0
2026-05-19T00:10:27+00:00,#63,index:1,0.9595,0.97355,0.02645,0.0405,0.014050000000000007,6691.0
2026-05-19T00:10:27+00:00,#62,index:0,0.00389,0.0165,0.9835,0.99611,0.012610000000000001,98235.0
2026-05-19T00:10:27+00:00,#60,class:priceBinary|underlying:BTC|expiry:20260519-0600|targetPrice:76885|period:1,0.6204,0.62356,0.37758,0.38,0.0031600000000000517,2858.0
2026-05-19T00:10:27+00:00,#61,other,,,,,,0
2026-05-19T00:20:30+00:00,#63,index:1,0.9595,0.97355,0.02645,0.0405,0.014050000000000007,6651.0
2026-05-19T00:20:30+00:00,#64,index:2,0.00908,0.02032,0.97968,0.99092,0.011240000000000002,1450708.0
2026-05-19T00:20:30+00:00,#62,index:0,0.01019,0.0165,0.9835,0.98981,0.006310000000000001,67922.0
2026-05-19T00:20:30+00:00,#60,class:priceBinary|underlying:BTC|expiry:20260519-0600|targetPrice:76885|period:1,0.72,0.72291,0.27709,0.28,0.002910000000000079,3505.0
2026-05-19T00:20:30+00:00,#61,other,,,,,,0
