timestamp,market_id,question,yes_bid,yes_ask,no_bid,no_ask,spread,volume
2026-05-16T00:00:50+00:00,#47,index:0,0.1329,0.15073,0.84927,0.8671,0.017830000000000013,4076.0
2026-05-16T00:00:50+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1691722.0
2026-05-16T00:00:50+00:00,#48,index:1,0.85144,0.85146,0.14854,0.14856,2.0000000000020002e-05,5174.0
2026-05-16T00:00:50+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.02,0.02001,0.97999,0.98,9.999999999999593e-06,51752.0
2026-05-16T00:00:50+00:00,#46,other,,,,,,0
2026-05-16T00:10:28+00:00,#47,index:0,0.09488,0.09958,0.90042,0.90512,0.004699999999999996,4124.0
2026-05-16T00:10:28+00:00,#48,index:1,0.9031,0.90763,0.09237,0.0969,0.004530000000000034,7070.0
2026-05-16T00:10:28+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1691640.0
2026-05-16T00:10:28+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.02343,0.02351,0.97649,0.97657,8.000000000000021e-05,50361.0
2026-05-16T00:10:28+00:00,#46,other,,,,,,0
2026-05-16T00:20:28+00:00,#48,index:1,0.9037,0.91103,0.08897,0.0963,0.007330000000000059,4330.0
2026-05-16T00:20:28+00:00,#47,index:0,0.089,0.09487,0.90513,0.911,0.00587,4460.0
2026-05-16T00:20:28+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1690935.0
2026-05-16T00:20:28+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.01945,0.01951,0.98049,0.98055,6.0000000000001025e-05,50844.0
2026-05-16T00:20:28+00:00,#46,other,,,,,,0
2026-05-16T00:30:37+00:00,#47,index:0,0.07695,0.08551,0.91449,0.92305,0.008559999999999998,7180.0
2026-05-16T00:30:37+00:00,#48,index:1,0.91449,0.9225,0.0775,0.08551,0.008009999999999962,4791.0
2026-05-16T00:30:37+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.018,0.022,0.978,0.982,0.004,60891.0
2026-05-16T00:30:37+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1690935.0
2026-05-16T00:30:37+00:00,#46,other,,,,,,0
2026-05-16T00:40:27+00:00,#48,index:1,0.93037,0.94065,0.05935,0.06963,0.010279999999999956,5627.0
2026-05-16T00:40:27+00:00,#47,index:0,0.05935,0.06697,0.93303,0.94065,0.007620000000000002,7501.0
2026-05-16T00:40:27+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1690785.0
2026-05-16T00:40:27+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.01542,0.01543,0.98457,0.98458,9.999999999999593e-06,69395.0
2026-05-16T00:40:27+00:00,#46,other,,,,,,0
2026-05-16T00:50:30+00:00,#47,index:0,0.0655,0.07748,0.92252,0.9345,0.01197999999999999,7406.0
2026-05-16T00:50:30+00:00,#48,index:1,0.9265,0.92851,0.07149,0.0735,0.0020099999999999563,2782.0
2026-05-16T00:50:30+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1690785.0
2026-05-16T00:50:30+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.0207,0.02071,0.97929,0.9794,9.999999999999593e-06,7741.0
2026-05-16T00:50:30+00:00,#46,other,,,,,,0
2026-05-16T01:00:46+00:00,#47,index:0,0.09886,0.10248,0.89752,0.90114,0.0036199999999999982,6114.0
2026-05-16T01:00:46+00:00,#48,index:1,0.89983,0.90252,0.09748,0.10017,0.00268999999999997,4214.0
2026-05-16T01:00:46+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1688814.0
2026-05-16T01:00:46+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.01528,0.01529,0.98471,0.98472,9.999999999999593e-06,54266.0
2026-05-16T01:00:46+00:00,#46,other,,,,,,0
2026-05-16T01:10:30+00:00,#47,index:0,0.0817,0.095,0.905,0.9183,0.013300000000000006,6402.0
2026-05-16T01:10:30+00:00,#48,index:1,0.9095,0.92047,0.07953,0.0905,0.010970000000000035,7115.0
2026-05-16T01:10:30+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.01564,0.01777,0.98223,0.98436,0.00213,73727.0
2026-05-16T01:10:30+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1688782.0
2026-05-16T01:10:30+00:00,#46,other,,,,,,0
2026-05-16T01:20:32+00:00,#48,index:1,0.90909,0.91774,0.08226,0.09091,0.008650000000000047,6144.0
2026-05-16T01:20:32+00:00,#47,index:0,0.08226,0.08829,0.91171,0.91774,0.006029999999999994,6519.0
2026-05-16T01:20:32+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1688564.0
2026-05-16T01:20:32+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.01323,0.01324,0.98676,0.98677,9.999999999999593e-06,75331.0
2026-05-16T01:20:32+00:00,#46,other,,,,,,0
2026-05-16T01:30:35+00:00,#47,index:0,0.1209,0.12907,0.87093,0.8791,0.008169999999999997,5573.0
2026-05-16T01:30:35+00:00,#48,index:1,0.8713,0.87548,0.12452,0.1287,0.0041800000000000725,6682.0
2026-05-16T01:30:35+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.00901,0.01256,0.98744,0.99099,0.0035499999999999993,86983.0
2026-05-16T01:30:35+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1688444.0
2026-05-16T01:30:35+00:00,#46,other,,,,,,0
2026-05-16T01:40:28+00:00,#48,index:1,0.86253,0.86678,0.13322,0.13747,0.004249999999999976,6496.0
2026-05-16T01:40:28+00:00,#49,index:2,3e-05,0.00155,0.99845,0.99997,0.0015199999999999999,1688434.0
2026-05-16T01:40:28+00:00,#45,class:priceBinary|underlying:BTC|expiry:20260516-0600|targetPrice:80323|period:1,0.0086,0.00899,0.99101,0.9914,0.0003899999999999997,61354.0
2026-05-16T01:40:28+00:00,#47,index:0,0.13673,0.13675,0.86325,0.86327,2.0000000000020002e-05,5724.0
2026-05-16T01:40:28+00:00,#46,other,,,,,,0
